#截止2023-09-27，福建省福州市IP地址共计1186条记录，IP地址总数2582784。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
203.8.197.0	203.8.199.255	768	电信
203.8.203.0	203.8.203.255	256	电信
203.8.209.0	203.8.215.255	1792	电信
203.8.217.0	203.8.217.255	256	电信
203.8.220.0	203.8.220.255	256	电信
203.9.32.0	203.9.32.255	256	电信
203.9.36.0	203.9.37.255	512	电信
203.9.57.0	203.9.57.255	256	电信
203.9.63.0	203.9.63.255	256	电信
203.9.65.0	203.9.65.255	256	电信
203.9.70.0	203.9.72.255	768	电信
203.9.75.0	203.9.77.255	768	电信
203.9.96.0	203.9.101.255	1536	电信
203.9.108.0	203.9.108.255	256	电信
203.9.158.0	203.9.158.255	256	电信
203.10.34.0	203.10.34.255	256	电信
203.10.56.0	203.10.56.255	256	电信
203.10.74.0	203.10.75.255	512	电信
203.10.84.0	203.10.88.255	1280	电信
203.10.95.0	203.10.95.255	256	电信
203.10.125.0	203.10.125.255	256	电信
203.11.70.0	203.11.70.255	256	电信
203.11.76.0	203.11.79.255	1024	电信
203.11.82.0	203.11.82.255	256	电信
203.11.84.0	203.11.87.255	1024	电信
203.11.100.0	203.11.103.255	1024	电信
203.11.109.0	203.11.109.255	256	电信
203.11.117.0	203.11.117.255	256	电信
203.11.122.0	203.11.122.255	256	电信
203.11.126.0	203.11.126.255	256	电信
203.11.136.0	203.11.139.255	1024	电信
203.11.141.0	203.11.143.255	768	电信
203.11.180.0	203.11.183.255	1024	电信
203.11.208.0	203.11.211.255	1024	电信
203.12.16.0	203.12.16.255	256	电信
203.12.19.0	203.12.19.255	256	电信
203.12.24.0	203.12.24.255	256	电信
203.12.57.0	203.12.57.255	256	电信
203.12.65.0	203.12.66.255	512	电信
203.12.70.0	203.12.71.255	512	电信
203.12.87.0	203.12.87.255	256	电信
203.12.100.0	203.12.101.255	512	电信
203.12.103.0	203.12.103.255	256	电信
203.12.114.0	203.12.114.255	256	电信
203.12.118.0	203.12.118.255	256	电信
203.12.130.0	203.12.130.255	256	电信
203.12.137.0	203.12.137.255	256	电信
203.12.196.0	203.12.199.255	1024	电信
203.12.211.0	203.12.211.255	256	电信
203.12.219.0	203.12.219.255	256	电信
203.12.226.0	203.12.226.255	256	电信
203.12.240.0	203.12.243.255	1024	电信
203.13.18.0	203.13.18.255	256	电信
203.13.24.0	203.13.24.255	256	电信
